ids,labels,parents,values
mb_cluster_0,mb_cluster_0,,62
mb_cluster_1,mb_cluster_1,mb_cluster_0,6
mb_cluster_2,mb_cluster_2,mb_cluster_0,21
mb_cluster_3,mb_cluster_3,mb_cluster_0,29
mb_cluster_4,mb_cluster_4,mb_cluster_0,5
mb_cluster_5,mb_cluster_5,mb_cluster_0,1
_0UET0Cu14A_APAC,_0UET0Cu14A_APAC,mb_cluster_1,1
zr7cvTlz89E_APAC,zr7cvTlz89E_APAC,mb_cluster_2,1
_-fjVqv_6p0_APAC,_-fjVqv_6p0_APAC,mb_cluster_5,1
_-uioSG7nYk_APAC,_-uioSG7nYk_APAC,mb_cluster_3,1
Zv6z8m014E8_APAC,Zv6z8m014E8_APAC,mb_cluster_3,1
_6CC25Pq6zM_APAC,_6CC25Pq6zM_APAC,mb_cluster_2,1
ytT9TvR7prk_APAC,ytT9TvR7prk_APAC,mb_cluster_2,1
_3YLqwdwo9E_APAC,_3YLqwdwo9E_APAC,mb_cluster_1,1
_5ncYUeP7Iw_APAC,_5ncYUeP7Iw_APAC,mb_cluster_2,1
_5C3mJZU2w0_APAC,_5C3mJZU2w0_APAC,mb_cluster_1,1
_7CW15OXnr8_APAC,_7CW15OXnr8_APAC,mb_cluster_2,1
z4EJFt3cdkI_APAC,z4EJFt3cdkI_APAC,mb_cluster_2,1
_9z5d9rB9sg_APAC,_9z5d9rB9sg_APAC,mb_cluster_1,1
_95I_1rZiIs_APAC,_95I_1rZiIs_APAC,mb_cluster_4,1
GIq9eGlzhVk_BalticOps,GIq9eGlzhVk_BalticOps,mb_cluster_3,1
Ec1qAKQbEWw_BalticOps,Ec1qAKQbEWw_BalticOps,mb_cluster_3,1
29FXUhQ-cPc_BalticOps,29FXUhQ-cPc_BalticOps,mb_cluster_2,1
vx9mfR2kWaw_BalticOps,vx9mfR2kWaw_BalticOps,mb_cluster_3,1
QE-l0571hdY_BalticOps,QE-l0571hdY_BalticOps,mb_cluster_3,1
p0vjmKCGsdI_BalticOps,p0vjmKCGsdI_BalticOps,mb_cluster_3,1
_gdx6KfXlbY_BalticOps,_gdx6KfXlbY_BalticOps,mb_cluster_3,1
V_l0H6bx1zQ_BalticOps,V_l0H6bx1zQ_BalticOps,mb_cluster_3,1
UfFzOOxH_vY_BalticOps,UfFzOOxH_vY_BalticOps,mb_cluster_3,1
h6ieNTt0xQw_BalticOps,h6ieNTt0xQw_BalticOps,mb_cluster_2,1
f7WPRJ_RZtc_BalticOps,f7WPRJ_RZtc_BalticOps,mb_cluster_3,1
iu40Inp8hfU_BalticOps,iu40Inp8hfU_BalticOps,mb_cluster_3,1
x3D745FILH4_BalticOps,x3D745FILH4_BalticOps,mb_cluster_3,1
eNZQXQKckIg_BalticOps,eNZQXQKckIg_BalticOps,mb_cluster_3,1
kMWnuKFZpmo_CE2019_Influential,kMWnuKFZpmo_CE2019_Influential,mb_cluster_2,1
p4KK7j-wHMA_CE2019_Influential,p4KK7j-wHMA_CE2019_Influential,mb_cluster_4,1
nGzgUSvlJzw_CE2019_Influential,nGzgUSvlJzw_CE2019_Influential,mb_cluster_1,1
LRNqINI8XqA_CE2019_Influential,LRNqINI8XqA_CE2019_Influential,mb_cluster_3,1
h3lzkpLqrE0_CE2019_Influential,h3lzkpLqrE0_CE2019_Influential,mb_cluster_3,1
cDPeXoQUrbI_CE2019_Influential,cDPeXoQUrbI_CE2019_Influential,mb_cluster_3,1
LeGCRbMVKBk_CE2019_Influential,LeGCRbMVKBk_CE2019_Influential,mb_cluster_3,1
14N4EvXnHtA_CE2019_Influential,14N4EvXnHtA_CE2019_Influential,mb_cluster_3,1
EoiyJXsNerI_CE2019_Influential,EoiyJXsNerI_CE2019_Influential,mb_cluster_3,1
NgjhQxKb19M_CE2019_Influential,NgjhQxKb19M_CE2019_Influential,mb_cluster_4,1
XSe3vQCRXvI_CE2019_Influential,XSe3vQCRXvI_CE2019_Influential,mb_cluster_2,1
VZBntuxFQwo_CE2019_Influential,VZBntuxFQwo_CE2019_Influential,mb_cluster_4,1
pR8ff8UQAvI_CE2019_Influential,pR8ff8UQAvI_CE2019_Influential,mb_cluster_2,1
Zknt3wtmvJw_CE2019_Influential,Zknt3wtmvJw_CE2019_Influential,mb_cluster_2,1
hC0mzWlAHRI_CE2019_Influential,hC0mzWlAHRI_CE2019_Influential,mb_cluster_3,1
XxA2Y9XyrpM_CE2019_Influential,XxA2Y9XyrpM_CE2019_Influential,mb_cluster_3,1
_zgTxn1csA4_CE2019_Influential,_zgTxn1csA4_CE2019_Influential,mb_cluster_2,1
62rqQbPDad4_CE2019_Influential,62rqQbPDad4_CE2019_Influential,mb_cluster_3,1
RwBn261CY5o_CE2019_Influential,RwBn261CY5o_CE2019_Influential,mb_cluster_2,1
juZ7dfu1XYg_CE2019_Influential,juZ7dfu1XYg_CE2019_Influential,mb_cluster_2,1
BZByHISDnM8_CE2019_Suspicious,BZByHISDnM8_CE2019_Suspicious,mb_cluster_3,1
2BMUX2Vy-LA_CE2019_Suspicious,2BMUX2Vy-LA_CE2019_Suspicious,mb_cluster_3,1
m_1_aMIeMcw_CE2019_Suspicious,m_1_aMIeMcw_CE2019_Suspicious,mb_cluster_2,1
N3x76mF8Ffk_CE2019_Suspicious,N3x76mF8Ffk_CE2019_Suspicious,mb_cluster_3,1
oWMpxvjSB6Y_CE2019_Suspicious,oWMpxvjSB6Y_CE2019_Suspicious,mb_cluster_2,1
6YKSFt7y2vk_CE2019_Suspicious,6YKSFt7y2vk_CE2019_Suspicious,mb_cluster_2,1
XOUp8BHtv3Y_CE2019_Suspicious,XOUp8BHtv3Y_CE2019_Suspicious,mb_cluster_2,1
HSOorzE0EYg_CE2019_Suspicious,HSOorzE0EYg_CE2019_Suspicious,mb_cluster_2,1
heoPMBghjvI_CE2019_Suspicious,heoPMBghjvI_CE2019_Suspicious,mb_cluster_2,1
xw3hzs2JkHM_CE2019_Suspicious,xw3hzs2JkHM_CE2019_Suspicious,mb_cluster_1,1
9vXRPQB3yK4_CE2019_Suspicious,9vXRPQB3yK4_CE2019_Suspicious,mb_cluster_4,1
_AW_dnGxSlQ_CE2019_Suspicious,_AW_dnGxSlQ_CE2019_Suspicious,mb_cluster_3,1
ZUFasGpIXuk_CE2019_Suspicious,ZUFasGpIXuk_CE2019_Suspicious,mb_cluster_3,1
LMJ8UJ8wEiY_CE2019_Suspicious,LMJ8UJ8wEiY_CE2019_Suspicious,mb_cluster_3,1